wl new,corr new
740,53.6803
740.5,54.219
741,54.7637
741.5,55.3144
742,55.8713
742.5,56.3327
743,56.9166
743.5,57.5063
744,58.1021
744.5,58.7039
745,59.3116
745.5,59.9254
746,60.5453
746.5,61.1713
747,61.8033
747.5,62.4416
748,63.0859
748.5,63.7364
749,64.3932
749.5,65.0561
750,65.7253
750.5,66.4007
751,67.0823
751.5,67.7702
752,68.4644
752.5,69.165
753,69.8718
753.5,70.5849
754,71.3043
754.5,72.0301
755,72.7622
755.5,73.5007
756,74.2455
756.5,74.9966
757,75.7541
757.5,76.518
758,77.2882
758.5,78.0648
759,78.8477
759.5,79.6369
760,80.4325
760.5,81.2344
761,82.0426
761.5,82.8571
762,83.6779
762.5,84.505
763,85.3384
763.5,86.178
764,87.0238
764.5,87.8759
765,88.7341
765.5,89.5985
766,90.4691
766.5,91.3458
767,92.2285
767.5,93.1173
768,94.0121
768.5,94.913
769,95.8197
769.5,96.7324
770,97.651
770.5,98.5754
771,99.5056
771.5,100.442
772,101.383
772.5,102.33
773,103.283
773.5,104.242
774,105.206
774.5,106.175
775,107.15
775.5,108.13
776,109.115
776.5,110.105
777,111.101
777.5,112.101
778,113.107
778.5,114.117
779,115.132
779.5,116.152
780,117.177
780.5,118.206
781,119.239
781.5,120.277
782,121.32
782.5,122.366
783,123.416
783.5,124.47
784,125.529
784.5,126.591
785,127.656
785.5,128.725
786,129.798
786.5,130.873
787,131.952
787.5,133.034
788,134.119
788.5,135.206
789,136.297
789.5,137.389
790,138.484
790.5,139.581
791,140.68
791.5,141.781
792,142.884
792.5,143.988
793,145.094
793.5,146.201
794,147.309
794.5,148.418
795,149.527
795.5,150.637
796,151.747
796.5,152.858
797,153.968
797.5,155.078
798,156.188
798.5,157.297
799,158.405
799.5,159.511
800,160.617
800.5,161.721
801,162.823
801.5,163.923
802,165.021
802.5,166.116
803,167.209
803.5,168.299
804,169.385
804.5,170.468
805,171.547
805.5,172.622
806,173.692
806.5,174.758
807,175.819
807.5,176.875
808,177.926
808.5,178.97
809,180.009
809.5,181.041
810,182.066
810.5,183.085
811,184.096
811.5,185.099
812,186.094
812.5,187.081
813,188.059
813.5,189.028
814,189.988
814.5,190.937
815,191.877
815.5,192.806
816,193.724
816.5,194.631
817,195.526
817.5,196.409
818,197.279
818.5,198.136
819,198.98
819.5,199.811
820,200.627
820.5,201.428
821,202.214
821.5,202.985
822,203.739
822.5,204.477
823,205.198
823.5,205.902
824,206.588
824.5,207.255
825,207.904
825.5,208.533
826,209.142
826.5,209.73
827,210.298
827.5,210.844
828,211.368
828.5,211.869
829,212.348
829.5,212.802
830,213.232
830.5,213.638
831,214.017
831.5,214.371
832,214.698
832.5,214.998
833,215.269
833.5,215.513
834,215.727
834.5,215.911
835,216.065
835.5,216.187
836,216.278
836.5,216.336
837,216.361
837.5,216.352
838,216.309
838.5,216.23
839,216.115
839.5,215.964
840,215.775
840.5,215.548
841,215.282
841.5,214.976
842,214.629
842.5,214.241
843,213.811
843.5,213.338
844,212.821
844.5,212.26
845,211.653
845.5,211
846,210.3
846.5,209.552
847,208.755
847.5,207.909
848,207.011
848.5,206.062
849,205.061
849.5,204.006
850,202.897
